State	year	adult_pop	ins_employer	ins_direct	ins_medicare	ins_medicaid	uninsured
Florida	2014	11813708	5575541	1288386	170323	948322	2812892
Georgia	2014	6200645	3316647	462743	92962	369755	1368178
Hawaii	2014	836069	510226	47483	7194	90383	60085
Idaho	2014	950894	497632	117140	9836	46537	183445
Illinois	2014	7998369	4776186	641071	89174	868857	1119046
Indiana	2014	4012497	2428693	278435	57033	282413	658877
Iowa	2014	1872141	1197738	186426	12290	156251	164460
Kansas	2014	1725164	1052497	157381	18808	73743	249966
Kentucky	2014	2684670	1458478	180855	65683	374167	320812
Louisiana	2014	2824652	1440203	223786	49059	238369	609860
Maine	2014	822829	453008	61837	9029	91100	116691
Maryland	2014	3737434	2286846	262859	36447	365252	410935
Massachusetts	2014	4303921	2737763	283650	26609	705242	193217
Michigan	2014	6087266	3571034	476417	72719	676834	748333
Minnesota	2014	3370012	2162501	305409	25622	365537	265377
Mississippi	2014	1782144	868327	134831	36577	161386	383375
Missouri	2014	3669439	2123815	325561	71616	214241	590745
Montana	2014	618551	314792	80853	8119	30352	124168
Nebraska	2014	1127803	680916	125476	8617	47047	153881
Nevada	2014	1747883	954835	115649	21582	142375	355882
New Hampshire	2014	843544	563374	64177	10107	37893	107927
New Jersey	2014	5551498	3535547	347898	57089	454391	856903
New Mexico	2014	1238526	555135	85440	18672	191473	255917
New York	2014	12485670	7111983	786434	126754	2005122	1531914
North Carolina	2014	6045208	3165904	595684	91005	412895	1148157
North Dakota	2014	458368	289353	52932	3302	24482	45025
Ohio	2014	7061137	4333942	426595	119830	830427	819273
Oklahoma	2014	2305044	1207547	187084	41868	142923	498386
Oregon	2014	2449627	1293542	209879	27845	358710	340874
Pennsylvania	2014	7833859	4895033	669064	92300	638651	915861
Rhode Island	2014	667555	388161	55475	8458	87852	69115
South Carolina	2014	2908636	1510273	210143	54019	224859	578165
South Dakota	2014	503162	289238	62881	4724	23633	69426
Tennessee	2014	4001037	2112695	334075	76973	378023	694875
